,target_name,social_reward,path,energy_cost,total_score,final_target,simulation_index
2,E,18.0,12.0,12.0,6.0,C,7858
0,C,20.0,5.0,5.0,15.0,F,7859
1,D,15.0,5.0,5.0,10.0,F,7859
2,E,18.0,18.0,18.0,0.0,F,7859
3,F,23.0,4.0,4.0,19.0,F,7859
0,C,20.0,11.0,11.0,9.0,C,7860
1,D,15.0,10.0,10.0,5.0,C,7860
2,E,18.0,15.0,15.0,3.0,C,7860
3,F,23.0,18.0,18.0,5.0,C,7860
0,D,15.0,7.0,7.0,8.0,F,7861
1,E,18.0,7.0,7.0,11.0,F,7861
2,F,23.0,8.0,8.0,15.0,F,7861
0,E,18.0,15.0,15.0,3.0,E,7862
0,E,18.0,8.0,8.0,10.0,F,7863
1,F,23.0,7.0,7.0,16.0,F,7863
0,C,20.0,7.0,7.0,13.0,C,7864
1,E,18.0,8.0,8.0,10.0,C,7864
0,C,20.0,12.0,12.0,8.0,C,7865
1,D,15.0,9.0,9.0,6.0,C,7865
2,E,18.0,10.0,10.0,8.0,C,7865
3,F,23.0,18.0,18.0,5.0,C,7865
0,D,15.0,6.0,6.0,9.0,F,7866
1,E,18.0,12.0,12.0,6.0,F,7866
2,F,23.0,11.0,11.0,12.0,F,7866
0,C,20.0,13.0,13.0,7.0,C,7867
1,E,18.0,14.0,14.0,4.0,C,7867
0,D,15.0,8.0,8.0,7.0,F,7868
1,F,23.0,3.0,3.0,20.0,F,7868
0,C,20.0,14.0,14.0,6.0,F,7869
1,D,15.0,14.0,14.0,1.0,F,7869
2,E,18.0,10.0,10.0,8.0,F,7869
3,F,23.0,8.0,8.0,15.0,F,7869
0,E,18.0,13.0,13.0,5.0,F,7870
1,F,23.0,14.0,14.0,9.0,F,7870
0,D,15.0,13.0,13.0,2.0,F,7871
1,F,23.0,8.0,8.0,15.0,F,7871
0,C,20.0,9.0,9.0,11.0,C,7872
1,F,23.0,13.0,13.0,10.0,C,7872
0,C,20.0,8.0,8.0,12.0,F,7873
1,D,15.0,12.0,12.0,3.0,F,7873
2,F,23.0,7.0,7.0,16.0,F,7873
0,D,15.0,7.0,7.0,8.0,F,7874
1,E,18.0,15.0,15.0,3.0,F,7874
2,F,23.0,10.0,10.0,13.0,F,7874
0,E,18.0,7.0,7.0,11.0,E,7875
0,D,15.0,8.0,8.0,7.0,F,7876
1,E,18.0,15.0,15.0,3.0,F,7876
2,F,23.0,4.0,4.0,19.0,F,7876
0,C,20.0,14.0,14.0,6.0,C,7877
1,D,15.0,14.0,14.0,1.0,C,7877
0,F,23.0,11.0,11.0,12.0,F,7878
0,E,18.0,10.0,10.0,8.0,F,7879
1,F,23.0,11.0,11.0,12.0,F,7879
0,F,23.0,12.0,12.0,11.0,F,7880
0,C,20.0,16.0,16.0,4.0,F,7881
1,D,15.0,8.0,8.0,7.0,F,7881
2,E,18.0,11.0,11.0,7.0,F,7881
3,F,23.0,2.0,2.0,21.0,F,7881
0,C,20.0,12.0,12.0,8.0,E,7882
1,D,15.0,11.0,11.0,4.0,E,7882
2,E,18.0,4.0,4.0,14.0,E,7882
3,F,23.0,12.0,12.0,11.0,E,7882
0,F,23.0,9.0,9.0,14.0,F,7883
0,D,15.0,15.0,15.0,0.0,F,7884
1,E,18.0,7.0,7.0,11.0,F,7884
